experiment,detonation,file_create,image_load,net_connect,process_create,process_term,reg_create_key,reg_delete_key,reg_delete_value,reg_write,n_events,t_first,t_last,t_detonate,duration_s,dur_after_detonation_s,n_uniq_child,n_uniq_parent,n_uniq_cguid
E0,1,0,0,0,145,101,45,0,0,45,337,2024-08-24 16:31:37.055,2024-08-24 16:32:15.271,2024-08-24 16:31:37.055,38.216,38.216,191,146,337
E1,1,1177,0,0,461,404,0,0,0,0,2043,2024-08-25 05:58:47.647,2024-08-25 05:59:28.017,2024-08-25 05:58:47.647,40.37,40.37,774,457,2043
E10,1,0,15,0,0,1,0,0,0,0,17,2024-05-19 04:27:10.316,2024-05-19 04:27:10.331,2024-05-19 04:27:10.316,0.015,0.015,16,2,17
E100,1,194,354,9,4,5,349,3,0,7,926,2024-08-25 23:36:40.102,2024-08-25 23:36:48.415,2024-08-25 23:36:40.102,8.313,8.313,398,4,926
E1000,1,1,41,0,1,2,0,0,0,0,46,2024-05-20 18:23:56.327,2024-05-20 18:23:56.645,2024-05-20 18:23:56.327,0.318,0.318,43,3,46
E1001,1,23,73,103,1,1,2,0,0,4,208,2024-05-04 16:56:13.232,2024-05-04 17:01:22.611,2024-05-04 16:56:13.232,309.379,309.379,75,3,208
E1002,1,19,49,0,1,0,0,0,0,0,70,2024-08-28 01:31:42.259,2024-08-28 01:31:43.307,2024-08-28 01:31:42.259,1.048,1.048,42,3,70
E1003,1,53,243,1,4,1,1,0,0,4,308,2024-05-04 05:47:39.093,2024-05-04 05:47:43.702,2024-05-04 05:47:39.093,4.609,4.609,206,4,308
E1004,1,7,34,0,0,1,0,0,0,0,43,2024-05-16 10:25:47.559,2024-05-16 10:25:48.486,2024-05-16 10:25:47.559,0.927,0.927,42,2,43
E1005,1,723,562,7,8,7,190,0,3,69,1570,2024-05-06 00:42:50.658,2024-05-06 00:44:56.743,2024-05-06 00:42:50.658,126.085,126.085,709,7,1570
